City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Kirakira,SB,84.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
511,Durango,MX,76.59,broken clouds,24.8333,-104.8333,
512,Poso,ID,80.08,broken clouds,-1.3959,120.7524,Hotel 77 Poso
514,Tongliao,CN,78.58,broken clouds,43.6125,122.2653,Meirujia Hotel
521,Sartell,US,82.62,clear sky,45.6216,-94.2069,AmericInn by Wyndham Sartell
524,Changli,CN,80.4,few clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
525,Natal,BR,75.42,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
528,Embonas,GR,77.83,clear sky,36.2269,27.8564,Hotel Ataviros
532,Mandera,KE,75.33,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
533,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
535,Puerto Quijarro,BO,77.9,overcast clouds,-17.7833,-57.7667,Hotel palance
536,Tongren,CN,79.95,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
538,Botad,IN,78.35,overcast clouds,22.1667,71.6667,Yogi Guest House
539,Ingham,US,83.91,clear sky,42.6,-84.3833,Sunset Mobile Home Park
544,Campbell River,CA,77.59,broken clouds,50.0163,-125.2446,Anchor Inn & Suites
545,Buloh Kasap,MY,75.65,broken clouds,2.5536,102.764,Teratak Ixora Segamat
547,Los Chiles,CR,77.25,overcast clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
552,Wajima,JP,75.88,mist,37.4,136.9,Wajiima Onsen Yashio
554,Muroto,JP,79.92,few clouds,33.2833,134.15,Oota Ryokan
555,Itupiranga,BR,75.52,clear sky,-5.1347,-49.3267,Hotel Panorama
558,Robertsport,LR,77.14,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
559,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
561,Eyl,SO,76.28,scattered clouds,7.9803,49.8164,Amiin Hotel
563,Dakar,SN,82.53,light rain,14.6937,-17.4441,Novotel Dakar
564,Marihatag,PH,82.15,light rain,8.7936,126.2969,Mariner's Place & Resort
567,Waverly,US,83.75,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
569,Panguna,PG,81.45,broken clouds,-6.3164,155.4848,
573,Iglesias,IT,78.78,clear sky,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
576,Iraray,PH,82.0,overcast clouds,8.9936,118.0511,
578,Poya,NC,79.27,broken clouds,-21.35,165.15,
581,Kudahuvadhoo,MV,81.09,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
584,Biak,ID,78.24,scattered clouds,-0.9131,122.8766,Penginapan Kim
586,Port Blair,IN,79.77,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
588,Venustiano Carranza,MX,81.99,scattered clouds,19.43,-99.0992,We Hotel Aeropuerto
593,Keshorai Patan,IN,80.82,overcast clouds,25.3,75.9333,Hotel Jamindar Palace
596,Manavalakurichi,IN,77.22,overcast clouds,8.1333,77.3,Jebinrio home
598,Nabire,ID,80.67,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
601,Pinerolo,IT,80.62,clear sky,44.8833,7.35,Glicini Hotel
602,Panacan,PH,82.36,broken clouds,9.2463,118.4082,Mom's Place Resort
608,Rongcheng,CN,84.47,few clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
611,Trinidad,BO,80.58,clear sky,-14.8333,-64.9,Hotel Piesta
612,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
615,Kuching,MY,75.42,moderate rain,1.55,110.3333,Hilton Kuching
618,Whitecourt,CA,78.04,broken clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
620,Mogadishu,SO,75.63,light rain,2.0371,45.3438,Hotel Juba
621,Morden,CA,79.09,clear sky,49.1919,-98.1014,Morden Motor Inn
623,Bonoua,CI,76.62,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
624,Bima,ID,77.65,broken clouds,-8.4667,118.7167,Lambitu Hotel
643,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
647,Barmer,IN,80.65,overcast clouds,25.75,71.3833,Jain Dharamshala
649,Hobyo,SO,75.34,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
654,Sault Sainte Marie,CA,75.76,clear sky,46.5168,-84.3333,Comfort Inn
656,Canmore,CA,84.31,clear sky,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
