City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Buraydah,SA,26.326,43.975,88.25,13,10,4.59,clear sky
123,Tabou,CI,4.423,-7.3528,75.24,74,100,5.59,overcast clouds
124,Nakusp,CA,50.2499,-117.8023,90.48,34,30,3.44,scattered clouds
125,Upernavik,GL,72.7868,-56.1549,45.37,95,100,14.25,light rain
126,Marawi,PH,7.9986,124.2928,74.59,80,98,1.12,overcast clouds
127,Kodiak,US,57.79,-152.4072,53.11,87,100,5.75,overcast clouds
128,Lorengau,PG,-2.0226,147.2712,84.15,72,88,10.18,overcast clouds
129,Tsabong,BW,-26.0217,22.401,58.53,43,14,6.69,few clouds
130,Thompson,CA,55.7435,-97.8558,68.16,64,75,8.05,broken clouds
131,Hobart,AU,-42.8794,147.3294,48.25,82,20,12.66,few clouds
132,Klaksvik,FO,62.2266,-6.589,47.32,86,55,5.7,broken clouds
133,Buchanan,LR,5.8808,-10.0467,75.13,86,100,9.17,light rain
134,Yining,CN,29.0361,114.5636,85.21,72,71,2.46,broken clouds
135,Ponta Delgada,PT,37.7333,-25.6667,72.5,88,20,4.61,few clouds
136,Abasha,GE,42.2096,42.2211,66.42,94,100,4.07,overcast clouds
137,Strezhevoy,RU,60.7333,77.5889,55.27,94,100,5.41,overcast clouds
138,Vilcun,CL,-38.65,-72.2333,43.54,89,100,11.12,heavy intensity rain
139,Domodossola,IT,46.1165,8.2931,78.55,68,11,4.65,few clouds
140,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.02,86,4,9.66,clear sky
141,Ilulissat,GL,69.2167,-51.1,51.82,82,75,4.61,broken clouds
142,Severo-Kurilsk,RU,50.6789,156.125,53.82,96,100,21.81,heavy intensity rain
143,Poum,NC,-20.2333,164.0167,77.72,81,99,20.36,overcast clouds
144,Geraldton,AU,-28.7667,114.6,54.01,94,100,6.91,overcast clouds
145,Saint-Joseph,RE,-21.3667,55.6167,64.2,74,35,10.67,scattered clouds
146,Mahebourg,MU,-20.4081,57.7,70.25,77,40,11.5,scattered clouds
147,Jalu,LY,29.0331,21.5482,76.08,50,0,10.38,clear sky
148,Barrow,US,71.2906,-156.7887,46.42,76,20,26.46,few clouds
149,Nakatsugawa,JP,35.4833,137.5,77.11,69,63,3.56,broken clouds
150,Malpe,IN,13.35,74.7167,79.9,87,62,6.26,broken clouds
151,Leningradskiy,RU,69.3833,178.4167,36.0,99,100,6.87,light rain
152,Cape Coral,US,26.5629,-81.9495,87.8,68,89,7.0,light rain
153,Ca Mau,VN,9.1769,105.15,77.34,87,73,2.13,broken clouds
154,Houston,US,29.7633,-95.3633,99.41,57,0,21.85,clear sky
155,Raglan,NZ,-37.8,174.8833,53.1,63,72,2.37,broken clouds
156,Acapulco,MX,16.8634,-99.8901,87.62,74,40,8.05,scattered clouds
157,Sembe,CG,1.6481,14.5806,70.09,97,96,2.19,overcast clouds
158,Cockburn Town,TC,21.4612,-71.1419,82.44,83,6,20.0,clear sky
159,Harnai,PK,30.1005,67.9374,79.74,78,98,3.56,light rain
160,Khatanga,RU,71.9667,102.5,54.39,73,100,13.49,overcast clouds
161,Hasaki,JP,35.7333,140.8333,84.29,83,55,17.34,broken clouds
162,Deputatskiy,RU,69.3,139.9,51.57,59,14,12.84,few clouds
163,Chadiza,ZM,-14.0678,32.4392,56.71,70,26,3.98,scattered clouds
164,Nioro,GM,13.35,-15.75,75.76,96,100,6.13,moderate rain
165,Sao Filipe,CV,14.8961,-24.4956,74.41,87,89,5.59,overcast clouds
166,Te Anau,NZ,-45.4167,167.7167,42.44,87,65,1.19,broken clouds
167,Sibolga,ID,1.7427,98.7792,75.9,86,96,3.4,light rain
