City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,Comodoro Rivadavia,-45.8667,-67.5,49.86,53,0,29.93,AR,2022-07-20 05:47:07
128,Santa Isabel Do Rio Negro,-0.4139,-65.0192,71.15,100,100,1.23,BR,2022-07-20 05:47:50
129,Najran,17.4924,44.1277,84.85,29,100,16.37,SA,2022-07-20 05:47:51
130,Vaini,-21.2,-175.2,73.56,100,20,11.5,TO,2022-07-20 05:47:51
131,Konevo,62.1215,39.3192,57.15,99,100,6.44,RU,2022-07-20 05:47:51
132,Aykhal,66.0,111.5,59.9,55,35,16.82,RU,2022-07-20 05:47:52
133,Boguchany,58.3814,97.4531,64.26,84,89,10.16,RU,2022-07-20 05:47:52
134,Vestmannaeyjar,63.4427,-20.2734,49.78,84,72,17.45,IS,2022-07-20 05:47:53
135,Great Falls,47.5002,-111.3008,77.45,31,0,8.05,US,2022-07-20 05:47:53
136,Atbasar,51.8,68.3333,87.22,31,97,17.85,KZ,2022-07-20 05:47:55
137,Arraial Do Cabo,-22.9661,-42.0278,67.75,91,0,5.41,BR,2022-07-20 05:44:08
138,Teonthar,24.9833,81.65,97.27,46,70,4.85,IN,2022-07-20 05:48:55
139,Yerbogachen,61.2767,108.0108,68.72,67,85,8.61,RU,2022-07-20 05:48:56
140,Zhanaozen,43.3,52.8,96.42,20,2,2.59,KZ,2022-07-20 05:48:56
141,Namibe,-15.1961,12.1522,61.2,87,0,3.47,AO,2022-07-20 05:48:57
142,Anadyr,64.75,177.4833,50.5,81,40,8.95,RU,2022-07-20 05:44:17
143,Butaritari,3.0707,172.7902,81.93,79,90,12.84,KI,2022-07-20 05:48:58
144,Maldonado,-34.6667,-54.9167,47.23,92,4,6.35,UY,2022-07-20 05:46:26
145,Coahuayana,18.7333,-103.6833,78.39,93,72,0.92,MX,2022-07-20 05:48:58
146,Tuktoyaktuk,69.4541,-133.0374,55.4,94,75,2.3,CA,2022-07-20 05:48:59
